dt;weekday;holiday
2047-06-13;thursday;Corpus Christi
2047-09-07;saturday;Independência do Brasil
2047-10-12;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2047-11-02;saturday;Finados
2047-11-15;friday;Proclamação da República
2047-11-20;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2047-12-25;wednesday;Natal
2048-01-01;wednesday;Confraternização Universal
2048-02-17;monday;Carnaval
2048-02-18;tuesday;Carnaval
2048-04-03;friday;Paixão de Cristo
2048-04-21;tuesday;Tiradentes
2048-05-01;friday;Dia do Trabalho
2048-06-04;thursday;Corpus Christi
2048-09-07;monday;Independência do Brasil
2048-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2048-11-02;monday;Finados
2048-11-15;sunday;Proclamação da República
2048-11-20;friday;Dia Nacional de Zumbi e da Consciência Negra
2048-12-25;friday;Natal
2049-01-01;friday;Confraternização Universal
2049-03-01;monday;Carnaval
2049-03-02;tuesday;Carnaval
2049-04-16;friday;Paixão de Cristo
2049-04-21;wednesday;Tiradentes
2049-05-01;saturday;Dia do Trabalho
2049-06-17;thursday;Corpus Christi
2049-09-07;tuesday;Independência do Brasil
2049-10-12;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2049-11-02;tuesday;Finados
2049-11-15;monday;Proclamação da República
2049-11-20;saturday;Dia Nacional de Zumbi e da Consciência Negra
2049-12-25;saturday;Natal
2050-01-01;saturday;Confraternização Universal
2050-02-21;monday;Carnaval
2050-02-22;tuesday;Carnaval
2050-04-08;friday;Paixão de Cristo
2050-04-21;thursday;Tiradentes
2050-05-01;sunday;Dia do Trabalho
2050-06-09;thursday;Corpus Christi
2050-09-07;wednesday;Independência do Brasil
2050-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2050-11-02;wednesday;Finados
2050-11-15;tuesday;Proclamação da República
2050-11-20;sunday;Dia Nacional de Zumbi e da Consciência Negra
2050-12-25;sunday;Natal
2051-01-01;sunday;Confraternização Universal
2051-02-13;monday;Carnaval
2051-02-14;tuesday;Carnaval
2051-03-31;friday;Paixão de Cristo
2051-04-21;friday;Tiradentes
2051-05-01;monday;Dia do Trabalho
2051-06-01;thursday;Corpus Christi
2051-09-07;thursday;Independência do Brasil
2051-10-12;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2051-11-02;thursday;Finados
2051-11-15;wednesday;Proclamação da República
2051-11-20;monday;Dia Nacional de Zumbi e da Consciência Negra
2051-12-25;monday;Natal
2052-01-01;monday;Confraternização Universal
2052-03-04;monday;Carnaval
2052-03-05;tuesday;Carnaval
2052-04-19;friday;Paixão de Cristo
2052-04-21;sunday;Tiradentes
2052-05-01;wednesday;Dia do Trabalho
2052-06-20;thursday;Corpus Christi
2052-09-07;saturday;Independência do Brasil
2052-10-12;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2052-11-02;saturday;Finados
2052-11-15;friday;Proclamação da República
2052-11-20;wednesday;Dia Nacional de Zumbi e da Consciência Negra
