dt;weekday;holiday
2424729600;friday;Finados
2425852800;thursday;Proclamação da República
2426284800;tuesday;Dia Nacional de Zumbi e da Consciência Negra
2429308800;tuesday;Natal
2429913600;tuesday;Confraternização Universal
2434665600;monday;Carnaval
2434752000;tuesday;Carnaval
2438640000;friday;Paixão de Cristo
2439417600;sunday;Tiradentes
2440281600;wednesday;Dia do Trabalho
2443996800;thursday;Corpus Christi
2451427200;saturday;Independência do Brasil
2454451200;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2456265600;saturday;Finados
2457388800;friday;Proclamação da República
2457820800;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2460844800;wednesday;Natal
2461449600;wednesday;Confraternização Universal
2465510400;monday;Carnaval
2465596800;tuesday;Carnaval
2469484800;friday;Paixão de Cristo
2471040000;tuesday;Tiradentes
2471904000;friday;Dia do Trabalho
2474841600;thursday;Corpus Christi
2483049600;monday;Independência do Brasil
2486073600;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2487888000;monday;Finados
2489011200;sunday;Proclamação da República
2489443200;friday;Dia Nacional de Zumbi e da Consciência Negra
2492467200;friday;Natal
2493072000;friday;Confraternização Universal
2498169600;monday;Carnaval
2498256000;tuesday;Carnaval
2502144000;friday;Paixão de Cristo
2502576000;wednesday;Tiradentes
2503440000;saturday;Dia do Trabalho
2507500800;thursday;Corpus Christi
2514585600;tuesday;Independência do Brasil
2517609600;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2519424000;tuesday;Finados
2520547200;monday;Proclamação da República
2520979200;saturday;Dia Nacional de Zumbi e da Consciência Negra
2524003200;saturday;Natal
2524608000;saturday;Confraternização Universal
2529014400;monday;Carnaval
2529100800;tuesday;Carnaval
2532988800;friday;Paixão de Cristo
2534112000;thursday;Tiradentes
2534976000;sunday;Dia do Trabalho
2538345600;thursday;Corpus Christi
2546121600;wednesday;Independência do Brasil
2549145600;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2550960000;wednesday;Finados
2552083200;tuesday;Proclamação da República
2552515200;sunday;Dia Nacional de Zumbi e da Consciência Negra
2555539200;sunday;Natal
2556144000;sunday;Confraternização Universal
2559859200;monday;Carnaval
2559945600;tuesday;Carnaval
2563833600;friday;Paixão de Cristo
2565648000;friday;Tiradentes
2566512000;monday;Dia do Trabalho
2569190400;thursday;Corpus Christi
2577657600;thursday;Independência do Brasil
2580681600;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2582496000;thursday;Finados
2583619200;wednesday;Proclamação da República
2584051200;monday;Dia Nacional de Zumbi e da Consciência Negra
2587075200;monday;Natal
2587680000;monday;Confraternização Universal
2593123200;monday;Carnaval
2593209600;tuesday;Carnaval
2597097600;friday;Paixão de Cristo
2597270400;sunday;Tiradentes
2598134400;wednesday;Dia do Trabalho
2602454400;thursday;Corpus Christi
2609280000;saturday;Independência do Brasil
2612304000;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2614118400;saturday;Finados
2615241600;friday;Proclamação da República
2615673600;wednesday;Dia Nacional de Zumbi e da Consciência Negra
2618697600;wednesday;Natal
2619302400;wednesday;Confraternização Universal
2623363200;monday;Carnaval
2623449600;tuesday;Carnaval
2627337600;friday;Paixão de Cristo
2628806400;monday;Tiradentes
2629670400;thursday;Dia do Trabalho
2632694400;thursday;Corpus Christi
2640816000;sunday;Independência do Brasil
2643840000;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2645654400;sunday;Finados
2646777600;saturday;Proclamação da República
2647209600;thursday;Dia Nacional de Zumbi e da Consciência Negra
2650233600;thursday;Natal
2650838400;thursday;Confraternização Universal
2654208000;monday;Carnaval
